date,percent,average
2020-01-09,1,1
2020-01-10,0,0
2020-01-11,0,0
2020-01-12,0,0
2020-01-13,0,0
2020-01-14,3,1
2020-01-15,0,1
2020-01-16,1,1
2020-01-17,0,1
2020-01-18,2,1
2020-01-19,3,1
2020-01-20,5,2
2020-01-21,11,4
2020-01-22,11,6
2020-01-23,12,8
2020-01-24,14,11
2020-01-25,18,13
2020-01-26,26,16
2020-01-27,13,16
2020-01-28,17,18
2020-01-29,21,19
2020-01-30,27,21
2020-01-31,30,22
2020-02-01,21,23
2020-02-02,22,24
2020-02-03,22,24
2020-02-04,18,23
2020-02-05,14,19
2020-02-06,13,18
2020-02-07,25,18
2020-02-08,23,18
2020-02-09,18,18
2020-02-10,15,19
2020-02-11,25,21
2020-02-12,16,19
2020-02-13,27,20
2020-02-14,25,22
2020-02-15,21,23
2020-02-16,17,21
2020-02-17,16,21
2020-02-18,19,19
2020-02-19,14,17
2020-02-20,7,14
2020-02-21,16,14
2020-02-22,34,18
2020-02-23,25,19
2020-02-24,41,25
2020-02-25,52,34
2020-02-26,49,40
2020-02-27,55,44
2020-02-28,45,48
2020-02-29,24,45
2020-03-01,32,41
2020-03-02,50,41
2020-03-03,36,37
2020-03-04,38,36
2020-03-05,50,41
2020-03-06,50,45
2020-03-07,56,46
2020-03-08,52,49
2020-03-09,53,52
2020-03-10,68,56
2020-03-11,62,58
2020-03-12,88,65
2020-03-13,81,70
2020-03-14,86,77
2020-03-15,92,82
2020-03-16,91,88
2020-03-17,91,88
2020-03-18,91,90
2020-03-19,91,91
2020-03-20,89,91
2020-03-21,94,91
2020-03-22,92,91
2020-03-23,94,92
2020-03-24,90,92
2020-03-25,93,92
2020-03-26,93,92
2020-03-27,95,93
2020-03-28,98,94
2020-03-29,92,94
2020-03-30,96,95
2020-03-31,95,95
2020-04-01,91,94
2020-04-02,96,94
2020-04-03,95,95
2020-04-04,90,93
2020-04-05,97,94
2020-04-06,92,94
2020-04-07,92,93
2020-04-08,84,91
2020-04-09,90,91
2020-04-10,77,87
2020-04-11,88,86
2020-04-12,86,85
2020-04-13,79,84
2020-04-14,86,83
2020-04-15,87,85
2020-04-16,86,84
2020-04-17,86,85
2020-04-18,83,85
2020-04-19,80,84
2020-04-20,86,84
2020-04-21,85,84
2020-04-22,81,83
2020-04-23,81,83
2020-04-24,79,83
2020-04-25,79,81
2020-04-26,87,81
2020-04-27,83,82
2020-04-28,83,82
2020-04-29,84,83
2020-04-30,84,84
2020-05-01,76,82
2020-05-02,85,82
2020-05-03,78,82
2020-05-04,85,82
2020-05-05,76,80
2020-05-06,81,81
2020-05-07,77,79
2020-05-08,66,77
2020-05-09,59,72
2020-05-10,78,72
2020-05-11,85,73
2020-05-12,83,74
2020-05-13,86,78
2020-05-14,85,84
2020-05-15,77,83
2020-05-16,74,81
2020-05-17,58,76
2020-05-18,79,75
2020-05-19,72,72
2020-05-20,62,69
2020-05-21,69,68
2020-05-22,70,70
2020-05-23,67,68
2020-05-24,47,63
2020-05-25,78,66
2020-05-26,62,65
2020-05-27,59,63
2020-05-28,50,59
2020-05-29,48,59
2020-05-30,23,49
2020-05-31,23,41
2020-06-01,36,36
2020-06-02,17,30
2020-06-03,29,26
2020-06-04,26,26
2020-06-05,37,29
2020-06-06,16,25
2020-06-07,15,29
2020-06-08,38,34
2020-06-09,30,31
2020-06-10,33,33